Ligne,Texte,Traduction
111,“こんな日にかぎって……”,“Il fallait que ça tombe aujourd'hui......”
266,まったく情けない。,C'est vraiment pitoyable.
267,引っ越して二週間も経つのに、気を抜くと故郷を偲ぶ未練がましさに肩を落とす。,"Ça fait déjà deux semaines que j'ai déménagé, mais dès que je relâche mon attention, je regrette les terres de mon enfance et m'apitoie sur mon sort."
532,『……たしかにズレてるわ、こいつ……』,"『...... Je vois. En effet, il est plutôt bizarre......』"
575,どんな心境の変化か、草十郎は申し訳なさそうに目を伏せていた。,"Sōjūrō s'inclina d'un air désolé, mû par un changement d'attitude inattendu."
593,「それで。いったい、何の用なの」,"「Donc, c'est quoi que tu as de prévu exactement ?」"
597,『……馴れ始めたつもりだったけど、コイツのこういったテンポには失神しそうになるわ……』,"『...... Je croyais m'être faite à son extravagance, mais il me prend encore parfois au dépourvu......』"
667,「いや、待て待て待てーーーーっっっ！」,"「Non, attends, attends attends attends......!」"
1044,「……,「......
1045,今日、帰ってくる時おかしな物を見て、誰かに話そうと思っていたんだけど……」,"Aujourd'hui, quand je suis rentrée, j'ai vu quelque chose d'étrange, et je pensais en parler à quelqu'un, mais......」"
1084,帰宅部、学校までバス・徒歩込みで片道二十分のあんたが、なんで五時以降に帰ってくんのか考えるべきだったわ！」,"J'aurais dû me demander pourquoi tu es revenue après cinq heures, toi qui n'es dans aucun club et qui mets vingt minutes pour aller à l'école, en prenant en compte le temps de trajet en bus et à pied.」"
1092,あなたが都心に出向いた時、夕食にお寿司を食べてきたのに、お土産はなぜかコンビニエンスストアのビニール袋だったって話？」,"Quand tu as fait un tour au centre-ville et mangé des sushis pour me ramener des soba qui, pour une mystérieuse raison, se trouvaient dans un sac plastique de la supérette ?」"
1100,「……分かった。分かりました。じゃあ、今回のは前のと帳消しって事でいいわね？」,"「...... Ça va, j'ai compris. On peut dire qu'on est quittes maintenant ?」"
1213,ともかく、そういうワケなんで夜の暗がりは気をつけるぞなもし。静希、見るからにカモそうな顔してるし」,"En tout cas, fais attention aux coins sombres la nuit. Faut dire que tu as une tête de pigeon.」"
1231,鳥が墜ちてくるコトも、,"Le fait qu'un oiseau tombe,"
1330,えーと、一節目はたしか、“軽く、弱く。巧く、速く。チクタクチクタク　急げや急げ”よね？」,"Voyons voir, si je me rappelle bien, le premier verset, c'est “Légèrement. Faiblement. Habilement. Rapidement. Tic tac tic tac, dépêche-toi dépêche-toi”, c'est ça ?」"
1370,"Hey diddle diddle,","Hey diddle diddle,"
1379,"The cow jump'd over the moon,","The cow jump'd over the moon,"
1504,"Broken down,broken down.","Broken down, broken down..."
1541,"Broken down,broken down.","Broken down, broken down..."
1636,『次、次はお役に立ちますきっと！　生まれてこの方、失敗続きのボクらだけど！』,"『La prochaine fois, pour sûr, on se montrera utiles ! Même si l'échec est notre apanage depuis la naisance !』"
1667,「そうだなあ。粗大ゴミ回収は、金でも貰わねえとワリ合わなくなるんじゃねえか？　国が無料で回収するのはそろそろおしまいってトコ」,"「Eh bien... Si le ramassage des ordures ménagères ne rapporte pas tôt ou tard de l'argent, les bénéfices engendrés seront insuffisants, pas vrai ? Ça veut dire que l'État va bientôt arrêter de s'en occuper gratuitement.」"
1668,「はあ？　なに言ってんのオマエ？　使い古しの箪笥とか高く売れるじゃん！,"「Hein ? Qu'est-ce que tu racontes ? Les vieilles commodes se vendent bien cher, elles !"
1689,「面白いコトねぇなあ。誰か、校庭にミステリーサークルとか作ってくんねぇかなあ」,"「Pourquoi il ne se passe jamais rien d'intéressant ? Quelqu'un ne pourrait pas, je sais pas moi, dessiner un cercle de culture quelque part sur le campus ?」"
1706,仮に、もし認可していない、労働基準法に反してそうな所で働いてたら困るでしょ、学校も彼も」,"Et si jamais il travaillait dans un endroit qui ne rentre pas tout à fait dans le cadre de la loi sur les normes du travail, ça serait gênant, non ? Pour nous comme pour lui.」"
1712,仮に彼が指定以外のアルバイトをしているとしたら、それは彼の要求に学校側が応えていないからではありませんか？」,"En supposant qu'il ait un travail qui ne respecte pas les règles de l'école, ne serait-ce pas parce que l'école ne répond pas à sa demande ?」"
