SYSMES_CONF_000,サウンドの設定を行います,Modifier les paramètres audio.,设置声音,設定遊戲聲音
SYSMES_CONF_001,サウンドの設定を初期設定に戻します,Réinitialiser les paramètres audio.,将声音设置恢复为初始设置,將遊戲聲音恢復為初始設定
SYSMES_CONF_002,ＢＧＭの音量を調整します,Modifier le volume des musiques.,调整背景音乐音量,調整BGM音量
SYSMES_CONF_003,ＢＧＭの音量を下げます,Baisser le volume des musiques.,降低背景音乐音量,調低BGM音量
SYSMES_CONF_004,ＢＧＭの音量を上げます,Augmenter le volume des musiques.,提高背景音乐音量,調高BGM音量
SYSMES_CONF_005,ボイスの音量を調整します,Modifier le volume des voix.,调整语音音量,調整語音音量
SYSMES_CONF_006,ボイスの音量を下げます,Baisser le volume des voix.,降低语音音量,調低語音音量
SYSMES_CONF_007,ボイスの音量を上げます,Augmenter le volume des voix.,提高语音音量,調高語音音量
SYSMES_CONF_008,効果音の音量を調整します,Modifier le volume des effets.,调整音效音量,調整效果音音量
SYSMES_CONF_009,効果音の音量を下げます,Baisser le volume des effets.,降低音效音量,調低效果音音量
SYSMES_CONF_010,効果音の音量を上げます,Augmenter le volume des effets.,提高音效音量,調高效果音音量
SYSMES_CONF_011,システムＳＥの音量を調整します,Modifier le volume des effets système.,调整系统音效音量,調整系統音效音量
SYSMES_CONF_012,システムＳＥの音量を下げます,Baisser le volume des effets système.,降低系统音效音量,調低系統音效音量
SYSMES_CONF_013,システムＳＥの音量を上げます,Augmenter le volume des effets système.,提高系统音效音量,調高系統音效音量
SYSMES_CONF_014,ムービーの音量を調整します,Modifier le volume vidéo.,调整视频音量,調整影片音量
SYSMES_CONF_015,ムービーの音量を下げます,Baisser le volume vidéo.,降低视频音量,調低影片音量
SYSMES_CONF_016,ムービーの音量を上げます,Augmenter le volume vidéo.,提高视频音量,調高影片音量
SYSMES_CONF_017,テキスト送り時にボイスを停止しません,Ne pas couper les voix au passage des textes.,跳过文本时不停止语音,推送文字時，不停止語音
SYSMES_CONF_018,テキスト送り時にボイスを停止します,Couper les voix au passage des textes.,跳过文本时停止语音,推送文字時，停止語音
SYSMES_CONF_019,ＢＧＭの音量を一定にします,Volume musical constant.,固定背景音乐音量,固定BGM音量
SYSMES_CONF_020,ボイス再生中にＢＧＭの音量を下げます,Baisser le volume des musiques durant les voix.,播放语音时降低背景音乐音量,播放語音時，調低BGM音量
SYSMES_CONF_021,BGMの音源を2chにします,Musique en mono.,背景音乐音源设为2声道,將BGM音源設為雙聲道
SYSMES_CONF_022,BGMの音源を5.1chにします,Musique en stereo.,背景音乐音源设为5.1声道,將BGM音源設為5.1聲道
SYSMES_CONF_100,ボイスの設定を行います,Modifier les paramètres des voix.,设置语音,設定遊戲語音
SYSMES_CONF_101,ボイスの設定を初期設定に戻します,Réinitialiser les volumes de voix.,将语音设置恢复为初始设置,將遊戲語音恢復為初始設定
SYSMES_CONF_102,システムボイスを変更します,Modifier les voix système.,变更系统语音,變更系統語音
SYSMES_CONF_103,？？？のボイス出力を設定します,Modifier le volume des voix de ???.,设置？？？的语音输出,設定？？？的語音輸出
SYSMES_CONF_104,？？？のボイス音量を設定します,Modifier le volume de ???.,设置？？？的语音音量,設定？？？的語音音量
SYSMES_CONF_105,？？？のボイス音量を下げます,Baisser le volume des voix de ???.,降低？？？的语音音量,調低？？？的語音音量
SYSMES_CONF_106,？？？のボイス音量を上げます,Augmenter le volume des voix de ???.,提高？？？的语音音量,調高？？？的語音音量
SYSMES_CONF_107,その他女性のボイス出力を設定します,Modifier le volume des voix des personnages féminins.,设置其他女性的语音输出,設定其他女性的語音輸出
SYSMES_CONF_108,その他女性のボイス音量を設定します,Volume des voix des personnages féminins.,设置其他女性的语音音量,設定其他女性的語音音量
SYSMES_CONF_109,その他女性のボイス音量を下げます,Baisser le volume des voix des personnages féminins.,降低其他女性的语音音量,調低其他女性的語音音量
SYSMES_CONF_110,その他女性のボイス音量を上げます,Augmenter le volume des voix des personnages féminins.,提高其他女性的语音音量,調高其他女性的語音音量
SYSMES_CONF_111,その他男性のボイス出力を設定します,Modifier le volume des voix des personnages masculins.,设置其他男性的语音输出,設定其他男性的語音輸出
SYSMES_CONF_112,その他男性のボイス音量を設定します,Volume des voix des personnages masculins.,设置其他男性的语音音量,設定其他男性的語音音量
SYSMES_CONF_113,その他男性のボイス音量を下げます,Baisser le volume des voix des personnages masculins.,降低其他男性的语音音量,調低其他男性的語音音量
SYSMES_CONF_114,その他男性のボイス音量を上げます,Augmenter le volume des voix des personnages masculins.,提高其他男性的语音音量,調高其他男性的語音音量
SYSMES_CONF_115,その他のボイス出力を設定します,Change output settings for misc. voices.,设置其他语音输出,設定其他語音輸出
SYSMES_CONF_116,その他のボイス音量を設定します,Volume des voix autres.,设置其他语音音量,設定其他語音音量
SYSMES_CONF_117,その他のボイス音量を下げます,Baisser le volume des voix autres.,降低其他语音音量,調低其他語音音量
SYSMES_CONF_118,その他のボイス音量を上げます,Augmenter le volume des voix autres.,提高其他语音音量,調高其他語音音量
SYSMES_CONF_119,蒼崎 青子のボイス出力を設定します,Modifier le volume des voix d'Aoko Aozaki.,设置苍崎青子的语音输出,設定蒼崎 青子的語音輸出
SYSMES_CONF_120,蒼崎 青子のボイス音量を設定します,Volume des voix d'Aoko Aozaki.,设置苍崎青子的语音音量,設定蒼崎 青子的語音音量
SYSMES_CONF_121,蒼崎 青子のボイス音量を下げます,Baisser le volume des voix d'Aoko Aozaki.,降低苍崎青子的语音音量,調低蒼崎 青子的語音音量
SYSMES_CONF_122,蒼崎 青子のボイス音量を上げます,Augmenter le volume des voix d'Aoko Aozaki.,提高苍崎青子的语音音量,調低蒼崎 青子的語音音量
SYSMES_CONF_123,久遠寺 有珠のボイス出力を設定します,Modifier le volume des voix d'Alice Kuonji.,设置久远寺有珠的语音输出,設定久遠寺 有珠的語音輸出
SYSMES_CONF_124,久遠寺 有珠のボイス音量を設定します,Volume des voix d'Alice Kuonji.,设置久远寺有珠的语音音量,設定久遠寺 有珠的語音音量
SYSMES_CONF_125,久遠寺 有珠のボイス音量を下げます,Baisser le volume des voix d'Alice Kuonji.,降低久远寺有珠的语音音量,調低久遠寺 有珠的語音音量
SYSMES_CONF_126,久遠寺 有珠のボイス音量を上げます,Augmenter le volume des voix d'Alice Kuonji.,提高久远寺有珠的语音音量,調高久遠寺 有珠的語音音量
SYSMES_CONF_127,静希 草十郎のボイス出力を設定します,Modifier le volume des voix de Sōjūrō Shizuki.,设置静希草十郎的语音输出,設定靜希 草十郎的語音輸出
SYSMES_CONF_128,静希 草十郎のボイス音量を設定します,Volume des voix de Sōjūrō Shizuki.,设置静希草十郎的语音音量,設定靜希 草十郎的語音音量
SYSMES_CONF_129,静希 草十郎のボイス音量を下げます,Baisser le volume des voix de Sōjūrō Shizuki.,降低静希草十郎的语音音量,調低靜希 草十郎的語音音量
SYSMES_CONF_130,静希 草十郎のボイス音量を上げます,Augmenter le volume des voix de Sōjūrō Shizuki.,提高静希草十郎的语音音量,調高靜希 草十郎的語音音量
SYSMES_CONF_131,槻司 鳶丸のボイス出力を設定します,Modifier le volume des voix de Tobimaru Tsukiji.,设置槻司鸢丸的语音输出,設定槻司 鳶丸的語音輸出
SYSMES_CONF_132,槻司 鳶丸のボイス音量を設定します,Volume des voix de Tobimaru Tsukiji.,设置槻司鸢丸的语音音量,設定槻司 鳶丸的語音音量
SYSMES_CONF_133,槻司 鳶丸のボイス音量を下げます,Baisser le volume des voix de Tobimaru Tsukiji.,降低槻司鸢丸的语音音量,調低槻司 鳶丸的語音音量
SYSMES_CONF_134,槻司 鳶丸のボイス音量を上げます,Augmenter le volume des voix de Tobimaru Tsukiji.,提高槻司鸢丸的语音音量,調高槻司 鳶丸的語音音量
SYSMES_CONF_135,久万梨 金鹿のボイス出力を設定します,Modifier le volume des voix de Kojika Kumari.,设置久万梨金鹿的语音输出,設定久萬梨 金鹿的語音輸出
SYSMES_CONF_136,久万梨 金鹿のボイス音量を設定します,Volume des voix de Kojika Kumari.,设置久万梨金鹿的语音音量,設定久萬梨 金鹿的語音音量
SYSMES_CONF_137,久万梨 金鹿のボイス音量を下げます,Baisser le volume des voix de Kojika Kumari.,降低久万梨金鹿的语音音量,調低久萬梨 金鹿的語音音量
SYSMES_CONF_138,久万梨 金鹿のボイス音量を上げます,Augmenter le volume des voix de Kojika Kumari.,提高久万梨金鹿的语音音量,調高久萬梨 金鹿的語音音量
SYSMES_CONF_139,木乃美 芳助のボイス出力を設定します,Modifier le volume des voix de Hōsuke Kinomi.,设置木乃美芳助的语音输出,設定木乃美 芳助的語音輸出
SYSMES_CONF_140,木乃美 芳助のボイス音量を設定します,Volume des voix de Hōsuke Kinomi.,设置木乃美芳助的语音音量,設定木乃美 芳助的語音音量
SYSMES_CONF_141,木乃美 芳助のボイス音量を下げます,Baisser le volume des voix de Hōsuke Kinomi.,降低木乃美芳助的语音音量,調低木乃美 芳助的語音音量
SYSMES_CONF_142,木乃美 芳助のボイス音量を上げます,Augmenter le volume des voix de Hōsuke Kinomi.,提高木乃美芳助的语音音量,調高木乃美 芳助的語音音量
SYSMES_CONF_143,山城 和樹のボイス出力を設定します,Modifier le volume des voix de Kazuki Yamasiro.,设置山城和树的语音输出,設定山城 和樹的語音輸出
SYSMES_CONF_144,山城 和樹のボイス音量を設定します,Volume des voix de Kazuki Yamasiro.,设置山城和树的语音音量,設定山城 和樹的語音音量
SYSMES_CONF_145,山城 和樹のボイス音量を下げます,Baisser le volume des voix de Kazuki Yamasiro.,降低山城和树的语音音量,調低山城 和樹的語音音量
SYSMES_CONF_146,山城 和樹のボイス音量を上げます,Augmenter le volume des voix de Kazuki Yamasiro.,提高山城和树的语音音量,調高山城 和樹的語音音量
SYSMES_CONF_147,文柄 詠梨のボイス出力を設定します,Modifier le volume des voix d'Eiri Fumidsuka.,设置文柄咏梨的语音输出,設定文柄 詠梨的語音輸出
SYSMES_CONF_148,文柄 詠梨のボイス音量を設定します,Volume des voix d'Eiri Fumidsuka.,设置文柄咏梨的语音音量,設定文柄 詠梨的語音音量
SYSMES_CONF_149,文柄 詠梨のボイス音量を下げます,Baisser le volume des voix d'Eiri Fumidsuka.,降低文柄咏梨的语音音量,調低文柄 詠梨的語音音量
SYSMES_CONF_150,文柄 詠梨のボイス音量を上げます,Augmenter le volume des voix d'Eiri Fumidsuka.,提高文柄咏梨的语音音量,調高文柄 詠梨的語音音量
SYSMES_CONF_151,周瀬 律架のボイス出力を設定します,Modifier le volume des voix de Ritsuka Suse.,设置周濑律架的语音输出,設定周瀨 律架的語音輸出
