Ligne,Traduction,Espaces placés au début,Révision 2022 (pour référence)
15,,2,
21,,0,
47,et se précipita chez son grand-père qui vivait plus à l'intérieur de la montagne.,,
69,"Pendant ce laps de temps de dix minutes, malgré ce qu'elle avait vécu,",,
73,"「Euh―――Il y a quelqu'un, ici ?」",,
111,“Il fallait que ça tombe aujourd'hui......”,,“こんな日にかぎって……”
147,"Au loin dans le ciel, on pouvait apercevoir les rayons du soleil qui se dissimulaient.",,
173,"Il ressemblait plus à un camarade sur qui on pouvait compter qu'à un véritable enseignant, mais malheureusement pour lui, elle ne l'aimait pas énormément.",2,
280,On dirait Robinson Crusoé......!』,,
266,C'est vraiment pitoyable.,,まったく情けない。
267,"Ça fait déjà deux semaines que j'ai déménagé, mais dès que je relâche mon attention, je regrette les terres de mon enfance et m'apitoie sur mon sort.",,引っ越して二週間も経つのに、気を抜くと故郷を偲ぶ未練がましさに肩を落とす。
284,"Mais cela dit, même si maintenant, le pays avait mis en place des voies de communication et de circulation comme les autoroutes ou la <Japan Railways|Chemin de fer National du Japon>, il était également vrai qu'on ne pouvait nier l'existence de ces villages de montagne.",2,
336,,2,
462,"「Ah oui, Shizuki Sōjūrō, j'imagine. Et vous, vous êtes Mlle Aozaki, c'est bien ça ?」",,
484,Le couloir sans fenêtres n'était éclairé par aucun rayon de soleil et était désert.,,
532,"『...... Je vois. En effet, il est plutôt bizarre......』",,『……たしかにズレてるわ、こいつ……』
543,,0,
553,"On pouvait se demander sur quels critères de normalité elle se basait, mais son caractère était tout à fait normal. Une personne naïve et gentille. Couleur de la personnalité : blanche. Genre : masculin. Impression<r>globale : tête en l'air.",,
574,"Pourtant,",2,
575,"Sōjūrō s'inclina d'un air désolé, mû par un changement d'attitude inattendu.",,どんな心境の変化か、草十郎は申し訳なさそうに目を伏せていた。
593,"「Et donc, c'est quoi que tu as de prévu exactement ?」",,「それで。いったい、何の用なの」
597,"『...... Je croyais m'être faite à son comportement extravagant, mais il me prend encore parfois au dépourvu......』",,『……馴れ始めたつもりだったけど、コイツのこういったテンポには失神しそうになるわ……』
605,"Comme un aimant, il avait beau reculer, Aoko s'approchait inexorablement.",,
667,"「Non, attends, attends attends attends......!」",,「いや、待て待て待てーーーーっっっ！」
734,"Le bâtiment actuel était de la deuxième génération, et celui de première génération, construit cinquante ans auparavant, se trouvait plus haut dans la montagne.",,
743,"Ce rêve avait été gâché par sa sœur aînée qui l'avait devancée, et par un tour du destin incompréhensible, elle se retrouvait à marcher avec son parapluie rouge ouvert, malgré le jour d'anniversaire de<r>l'établissement.",,
810,"Ou bien, d'innombrables corbeaux se rassemblaient en haut de la colline et disparaissaient.",,
811,"Ou encore, les jours où le brouillard était épais, des enfants se perdaient et disparaissaient mystérieusement.",,
923,"「Même dans cet état, le Fortnum & Mason n'a pas d'égal.",,
945,"Quand Aoko avait cet air indifférent, ça signifiait qu'en réalité, elle était énervée.",,
954,,0,
1044,「......,,「……
1045,"Aujourd'hui, quand je suis rentrée, j'ai vu quelque chose d'étrange, et je pensais en parler à quelqu'un, mais......」",,今日、帰ってくる時おかしな物を見て、誰かに話そうと思っていたんだけど……」
1050,"L'espace d'un instant, Aoko pensa que c'était encore une des pseudo-blagues d'Alice.",,
1084,"J'aurais dû me demander pourquoi tu es rentrée à cinq heures passées, alors que tu n'es dans aucun club et qu'il ne te faut que vingt minutes en bus et à pied pour aller à l'école.」",2,帰宅部、学校までバス・徒歩込みで片道二十分のあんたが、なんで五時以降に帰ってくんのか考えるべきだったわ！」
1086,"「Aah—ah, tu es une horrible femme ! On avait pourtant un accord. On devait acheter quelque chose pour celle qui restait seule à ces moments-là.",,
1092,"Quand tu as fait un tour au centre-ville et mangé des sushis pour me ramener des soba qui, pour une mystérieuse raison, se trouvaient dans un sac plastique de la supérette ?」",,あなたが都心に出向いた時、夕食にお寿司を食べてきたのに、お土産はなぜかコンビニエンスストアのビニール袋だったって話？」
1100,"「...... D'accord. J'ai compris. Alors, on peut dire qu'on est quittes maintenant ?」",,「……分かった。分かりました。じゃあ、今回のは前のと帳消しって事でいいわね？」
1167,"En passant Kinomi, si tu continues de faire l'idiot, tu vas faire tomber<r>l'assiette.」",,
1169,,0,
1210,,0,
